city,cloud,country,date,humidity,lat,lng,max_temp,wind_spd
klaksvik,64,FO,1547405400,100,62.23,-6.59,32.0,17.22
san patricio,24,PY,1547406504,74,-26.98,-56.83,89.15,4.72
tuktoyaktuk,40,CA,1547402400,73,69.44,-133.03,-29.21,14.99
vrangel,44,RU,1547406708,100,42.73,133.08,30.29,5.61
neuquen,0,AR,1547402400,18,-38.95,-68.06,80.6,9.17
kavieng,68,PG,1547406345,100,-2.57,150.8,83.53,12.77
luganville,8,VU,1547406708,100,-15.51,167.18,80.83,5.73
la romana,40,DO,1547406000,65,18.43,-68.97,82.4,11.41
khatanga,12,RU,1547406393,0,71.98,102.47,-40.45,4.83
nadym,76,RU,1547406709,76,65.53,72.51,9.41,12.55
lavrentiya,48,RU,1547406380,97,65.58,-170.99,-5.4,32.01
liaocheng,48,CN,1547406719,69,36.44,115.96,22.37,0.69
cap-aux-meules,90,CA,1547402400,73,47.38,-61.86,23.0,14.99
torbay,40,CA,1547405640,68,47.66,-52.73,26.6,26.4
puerto leguizamo,68,CO,1547406719,74,-0.19,-74.78,84.74,2.59
yulara,0,AU,1547402400,18,-25.24,130.99,87.8,5.82
richards bay,32,ZA,1547406435,79,-28.77,32.06,77.36,9.42
huarmey,0,PE,1547406720,61,-10.07,-78.15,78.26,5.28
le port,24,FR,1547406721,73,42.87,1.37,31.06,2.26
chiredzi,8,ZW,1547406721,38,-21.05,31.67,92.35,9.75
isangel,68,VU,1547406338,100,-19.55,169.27,78.13,5.61
muroto,0,JP,1547406721,100,33.37,134.14,39.02,10.2
gat,0,SN,1547404200,44,14.69,-16.54,98.6,9.17
dolores,92,AR,1547406722,100,-36.31,-57.68,74.53,6.29
warkworth,92,NZ,1547406000,88,-36.4,174.66,66.2,10.29
puerto ayora,75,EC,1547402400,66,-0.74,-90.35,84.2,14.99
vardo,90,US,1547405700,78,39.62,-77.74,30.2,8.05
high level,90,CA,1547402400,84,58.52,-117.13,-0.41,6.93
wanxian,92,CN,1547406722,98,30.8,108.39,35.6,2.48
samarai,92,PG,1547406392,100,-10.62,150.67,81.05,12.44
cidreira,0,BR,1547406434,83,-30.17,-50.22,84.65,11.43
avarua,40,CK,1547402400,78,-21.21,-159.78,80.6,5.82
saint anthony,40,US,1547402640,83,43.97,-111.68,21.92,3.83
noshiro,36,JP,1547406723,100,40.21,140.05,33.35,7.07
haines junction,36,CA,1547406483,43,60.75,-137.51,-16.65,1.92
cape town,40,ZA,1547402400,64,-33.93,18.42,68.0,9.17
kaitangata,8,NZ,1547406405,89,-46.28,169.85,49.78,12.44
dasoguz,0,TM,1547404200,74,41.84,59.97,33.8,6.93
ushtobe,32,KZ,1547406809,63,45.25,77.98,10.81,2.71
hervey bay,90,AU,1547402400,88,-25.3,152.85,69.8,8.05
grafton,92,AU,1547402400,100,-29.69,152.93,64.4,3.36
makakilo city,90,US,1547403540,100,21.35,-158.09,73.04,1.59
stavern,0,NO,1547405400,64,59.0,10.03,33.8,3.36
havoysund,20,NO,1547405400,85,71.0,24.66,24.8,3.36
fort nelson,90,CA,1547402400,76,58.81,-122.69,-7.61,2.24
blind river,1,CA,1547405760,68,46.19,-82.96,15.08,3.36
ornskoldsvik,75,SE,1547403600,86,63.29,18.72,28.4,12.75
axim,0,GH,1547406284,92,4.87,-2.24,85.51,11.65
ribeira grande,75,PT,1547404200,72,38.52,-28.7,62.6,12.75
ayorou,0,NE,1547406497,16,14.73,0.92,77.45,5.95
port elizabeth,90,US,1547405640,84,39.31,-74.98,30.2,13.87
hamilton,75,BM,1547402100,59,32.3,-64.78,66.2,8.05
bethel,90,US,1547402160,91,60.79,-161.76,17.06,25.28
pacifica,75,US,1547405760,64,37.61,-122.49,59.0,8.05
ponta delgada,20,PT,1547404200,72,37.73,-25.67,60.8,10.29
