city,cloud,country,date,humidity,lat,lng,max_temp,wind_spd
aripuana,8,BR,1547483399,78,-9.17,-60.63,81.96,2.95
bubaque,0,GW,1547483399,78,11.28,-15.83,86.46,4.18
daru,0,SL,1547483399,33,7.99,-10.85,95.14,4.29
mataura,20,NZ,1547483399,84,-46.19,168.86,39.75,2.73
myra,0,NO,1547483399,67,58.75,8.86,33.18,15.48
huarmey,0,PE,1547483400,72,-10.07,-78.15,74.89,4.29
chuy,24,UY,1547483214,100,-33.69,-53.46,79.21,5.86
bettendorf,90,US,1547481360,87,41.53,-90.51,26.6,6.93
kavaratti,0,IN,1547483400,100,10.57,72.64,82.81,7.76
teguise,0,ES,1547481600,59,29.06,-13.56,66.2,9.17
marawi,8,PH,1547483410,97,8.0,124.29,59.54,2.17
hue,40,VN,1547481600,100,16.47,107.58,69.8,2.24
mahebourg,40,MU,1547481600,69,-20.41,57.7,82.4,10.29
gondal,0,IN,1547483411,53,21.96,70.8,61.61,9.1
ancud,0,CL,1547481600,52,-41.87,-73.83,66.2,6.93
fairbanks,1,US,1547481480,84,64.84,-147.72,-0.05,3.74
lawrence,90,US,1547482140,88,38.97,-95.24,28.4,5.82
taclobo,24,PH,1547483412,98,12.31,122.59,79.34,19.17
belaya gora,64,RU,1547483412,39,68.54,146.19,-25.29,6.98
waynesville,90,US,1547482500,99,37.83,-92.2,30.92,4.7
saint-pierre,75,FR,1547481600,81,48.95,4.24,44.6,10.29
ushuaia,40,AR,1547481600,54,-54.81,-68.31,59.0,18.34
saint george,75,GR,1547482800,69,39.45,22.34,39.2,5.82
san vicente,0,SV,1547482020,40,13.64,-88.78,89.6,13.87
tasiilaq,68,GL,1547481000,56,65.61,-37.64,14.0,18.34
teguldet,8,RU,1547483414,80,57.31,88.17,10.58,5.53
kununurra,40,AU,1547482320,88,-15.77,128.74,78.8,8.05
bilibino,12,RU,1547483414,0,68.06,166.44,-46.35,2.28
carauari,36,BR,1547483414,71,-4.88,-66.9,86.86,3.74
port elizabeth,20,US,1547481360,70,39.31,-74.98,28.94,10.29
bredasdorp,0,ZA,1547481600,44,-34.53,20.04,77.0,16.11
hope,1,CA,1547481600,74,49.38,-121.43,37.4,19.46
qaanaaq,0,GL,1547483416,88,77.48,-69.36,-28.48,8.55
cockburn town,32,TC,1547483416,99,21.46,-71.14,79.16,9.22
sorland,40,NO,1547481000,100,67.67,12.69,32.0,25.28
saint-philippe,1,CA,1547482620,85,45.36,-73.48,12.2,4.7
kamaishi,0,JP,1547483417,90,39.28,141.86,19.31,2.73
nouadhibou,0,MR,1547478000,13,20.93,-17.03,75.2,9.17
fergus falls,90,US,1547482560,100,46.28,-96.08,24.8,4.7
porto belo,20,BR,1547481600,79,-27.15,-48.54,87.8,13.87
progreso,75,UY,1547481600,88,-34.68,-56.22,75.2,12.75
alofi,40,NU,1547481600,88,-19.06,-169.92,77.0,3.36
mar del plata,8,AR,1547483418,23,-46.43,-67.52,83.62,8.55
netanya,40,IL,1547481000,77,32.33,34.86,60.8,18.34
torbay,20,CA,1547481600,73,47.66,-52.73,26.6,23.04
yumen,64,CN,1547483419,73,40.29,97.04,2.44,4.52
caravelas,0,BR,1547483420,100,-17.73,-39.27,81.19,11.68
cayenne,90,GF,1547481600,70,4.94,-52.33,84.2,10.29
katsuura,40,JP,1547481600,86,33.93,134.5,37.4,9.17
nanortalik,68,GL,1547483420,97,60.14,-45.24,28.36,11.68
nome,90,US,1547482500,64,30.04,-94.42,48.02,8.05
innisfail,75,CA,1547481600,85,52.02,-113.95,10.4,2.95
tvoroyri,92,FO,1547481000,86,61.56,-6.81,30.2,4.7
tuy hoa,80,VN,1547483421,95,13.08,109.3,72.05,11.68
geraldton,90,CA,1547481600,79,49.72,-86.95,19.4,10.29
sitka,0,US,1547483422,81,37.17,-99.65,41.09,5.64
palmer,0,AU,1547481600,49,-34.85,139.16,71.6,6.93
dymer,92,UA,1547482140,92,50.78,30.31,28.4,13.42
tuktoyaktuk,75,CA,1547481600,75,69.44,-133.03,-13.01,17.22
tripoli,75,GR,1547481000,76,37.51,22.37,50.0,1.72
najran,0,SA,1547481600,15,17.54,44.22,77.0,4.7
bay roberts,20,CA,1547481600,68,47.58,-53.28,26.6,11.41
port lincoln,88,AU,1547483170,80,-34.72,135.86,70.62,2.84
faya,0,SA,1547481600,48,18.39,42.45,60.8,3.62
hithadhoo,76,MV,1547483434,100,-0.6,73.08,82.31,6.42
clyde river,40,CA,1547481600,65,70.47,-68.59,-34.61,9.17
aklavik,5,CA,1547481600,68,68.22,-135.01,-20.21,9.17
naze,40,NG,1547481600,56,5.43,7.07,93.2,8.05
hobart,75,AU,1547481600,88,-42.88,147.33,64.4,4.7
sibu,75,MY,1547478000,94,2.29,111.83,77.0,2.39
honiara,36,SB,1547483435,100,-9.43,159.96,72.64,1.39
ahipara,80,NZ,1547483435,96,-35.17,173.16,62.24,17.27
chimore,44,BO,1547483435,86,-16.98,-65.13,79.7,3.74
karratha,0,AU,1547483435,82,-20.74,116.85,77.9,5.53
manoel urbano,44,BR,1547483436,69,-8.84,-69.26,86.59,3.18
barra patuca,32,HN,1547483436,81,15.8,-84.28,81.82,12.46
nicoya,20,CR,1547481600,51,10.15,-85.45,84.2,21.92
fare,80,PF,1547483436,100,-16.7,-151.02,79.25,14.81
hermanus,0,ZA,1547483436,53,-34.42,19.24,67.42,3.74
nizhniy kuranakh,20,RU,1547483437,32,58.84,125.49,-22.99,2.39
victoria,75,BN,1547481600,100,5.28,115.24,78.8,8.66
aguimes,0,ES,1547481600,42,27.91,-15.45,68.0,6.93
trairi,44,BR,1547483437,100,-3.28,-39.27,79.12,6.76
dikson,76,RU,1547483437,92,73.51,80.55,5.32,24.54
carnarvon,0,ZA,1547483438,12,-30.97,22.13,77.63,10.45
port blair,64,IN,1547483438,100,11.67,92.75,82.58,11.45
ossora,0,RU,1547483438,68,59.24,163.07,-9.45,9.33
san quintin,0,PH,1547483438,78,17.54,120.52,63.19,2.95
manacor,0,ES,1547481600,62,39.57,3.21,59.0,5.82
dicabisagan,36,PH,1547483438,100,17.08,122.42,71.74,1.95
east london,20,ZA,1547481600,65,-33.02,27.91,77.0,12.75
rocha,8,UY,1547483439,69,-34.48,-54.34,82.72,9.44
sisimiut,24,GL,1547483439,100,66.94,-53.67,-23.49,1.72
kavieng,44,PG,1547483439,100,-2.57,150.8,84.02,13.69
tara,75,JP,1547481600,93,33.0,130.15,37.4,3.36
kruisfontein,0,ZA,1547483440,85,-34.0,24.73,68.09,5.53
kangalassy,36,RU,1547481600,57,62.35,129.97,-45.41,3.18
mlimba,80,TZ,1547483440,91,-8.78,35.81,74.3,2.39
esperance,20,TT,1547481600,51,10.24,-61.45,86.0,9.17
vanimo,48,PG,1547483441,100,-2.67,141.3,81.95,17.94
srednekolymsk,76,RU,1547483441,35,67.46,153.71,-23.35,4.41
andros town,20,BS,1547481600,41,24.73,-77.79,77.0,8.05
moindou,40,NC,1547481600,88,-21.69,165.68,69.8,4.18
hanzhong,92,CN,1547483441,74,33.08,107.03,28.04,2.39
buraydah,75,SA,1547481600,44,26.33,43.97,59.0,12.75
luwuk,76,ID,1547483442,100,-0.95,122.79,75.92,2.84
rabo de peixe,40,PT,1547479800,72,37.8,-25.58,64.4,11.41
vardo,90,US,1547482500,53,39.62,-77.74,32.0,6.93
lagoa,0,PT,1547479800,51,37.14,-8.45,60.8,8.05
taoudenni,0,ML,1547483442,20,22.68,-3.98,60.67,8.55
bridlington,8,GB,1547481000,80,54.08,-0.19,44.6,2.24
dospat,88,BG,1547483453,86,41.65,24.16,24.17,2.17
pevek,64,RU,1547483453,100,69.7,170.27,-21.6,8.1
helong,92,CN,1547483453,98,25.94,116.13,51.67,2.95
puerto baquerizo moreno,90,EC,1547481600,88,-0.9,-89.6,77.0,8.05
ponta do sol,8,BR,1547483457,61,-20.63,-46.0,86.54,4.85
kharela,0,IN,1547483457,50,25.55,79.82,49.37,6.64
vao,44,EE,1547483457,84,59.1,26.19,26.42,12.12
iberia,88,PE,1547483457,86,-11.41,-69.49,78.98,2.73
san jeronimo,90,PE,1547481600,53,-13.65,-73.37,51.8,6.93
hanyang,92,CN,1547483461,43,32.14,105.51,38.71,6.76
shubarkuduk,68,KZ,1547483461,86,49.15,56.49,19.94,4.41
sebezh,92,RU,1547483461,97,56.29,28.48,32.41,9.78
provideniya,56,RU,1547483465,100,64.42,-173.23,16.66,24.65
shaunavon,0,CA,1547483465,69,49.65,-108.41,26.56,6.64
sioux lookout,90,CA,1547481600,78,50.1,-91.92,17.6,5.82
ouro fino,24,BR,1547483465,67,-22.28,-46.37,82.31,3.85
